titulo_pelicula,director,ciclo,pais,asistencia,funciones,genero,anio_exhibicion,mes_exhibicion,lugar_exhibicion
31 Festival,VARIOS,FETIVAL,"España, México",174,1,ADULTOS,2019,ENERO ,Sala
Acusada,Gonzalo Tobal,CC,"Argentina, México ",3601,27,ADULTOS ,2019,ENERO ,Sala
Agonía de Amor,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,91,1,ADULTOS,2019,ENERO ,Sala
Al tercer tiro ,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,103,1,ADULTOS,2019,ENERO ,Sala
Alanis,Anahí Berneri ,CC,Argentina,4254,46,ADULTOS ,2019,ENERO ,Sala
AMA-SAN,Claudia Varejao ,Cine Portugués,"Portugal, Japón, Suiza",97,1,ADULTOS,2019,ENERO ,Sala
Anna Karenina. La historia del conde Vronsky,Karen Shakhnazarov,CC,Rusia,361,3,ADULTOS ,2019,ENERO ,Sala
Así es la vida,Arturo Ripstein,Retrospectiva Ripstein,"México, España, Francia",94,1,ADULTOS,2019,ENERO ,Sala
Buscando a Ingmar Bergman ,"Margarethe Von Trotta, Felix Moeller & Bettina Böhler",CC,"Alemania, Francia",633,29,ADULTOS,2019,ENERO ,Sala
Cadena perpetua ,Arturo Ripstein,Retrospectiva Ripstein,México,60,1,ADULTOS,2019,ENERO ,Sala
Caniba,Véréna Paravel & Lucien Castaing-taylor,ESTRENO,Francia,846,6,ADULTOS,2019,ENERO ,Sala
Climax,Gaspar Noe,ESTRENO,"Francia, Bélgica, Estados Unidos ",9454,28,ADULTOS,2019,ENERO ,Sala
Con M de muerte,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,312,2,ADULTOS,2019,ENERO ,Sala
Cortina rasgada,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,102,1,ADULTOS,2019,ENERO ,Sala
Cortometrajes Joao Pedro Rodrigues,Joao Pedro Rodrigues,Cine Portugués,"Portugal, Francia, Macao ",38,1,ADULTOS,2019,ENERO ,Sala
Cuéntame tu vida,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,144,2,ADULTOS,2019,ENERO ,Sala
De entre los muertos ,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,163,1,ADULTOS,2019,ENERO ,Sala
Distancias cortas,Alejandro Guzmán Alvarez,ESTRENO,México ,804,11,ADULTOS,2019,ENERO ,Sala
Djon África,Joao Miller Guerra & Filipa Reis,Cine Portugués,"Portugal, Brasil, Cabo Verde",87,1,ADULTOS,2019,ENERO ,Sala
Dulces Sueños,Marco Bellocchio,Estreno ,"Italia, Francia ",2921,43,ADULTOS,2019,ENERO ,Sala
El árbol de Higo,Almarok Avidian,Cine Judio,Israel,298,3,ADULTOS,2019,ENERO ,Sala
El buen cristiano, Izabel Acevedo,CC,México ,199,13,ADULTOS ,2019,ENERO ,Sala
El castillo de la pureza,Arturo Ripstein,Retrospectiva Ripstein,México,173,1,ADULTOS,2019,ENERO ,Sala
El charro de Toluquilla,José Villalobos,CC,México ,497,24,ADULTOS ,2019,ENERO ,Sala
El desafío,Jean van de Velde,Cine Judio,"Sudafrica, Países Bajos",247,3,ADULTOS ,2019,ENERO ,Sala
El evangelio de las maravillas,Arturo Ripstein,Retrospectiva Ripstein,"México, España, Argentina",88,1,ADULTOS,2019,ENERO ,Sala
El Hombre de Arán,Robert Flaherty,Clásicos en pantalla,Reino Unido,183,2,ADULTOS,2019,ENERO ,Sala
El imperio de la fortuna,Arturo Ripstein,Retrospectiva Ripstein,México,180,1,ADULTOS,2019,ENERO ,Sala
El infiltrado del KKKlan,Spike Lee,ESTRENO,Estados Unidos ,10541,40,ADULTOS,2019,ENERO ,Sala
El lugar sin límites,Arturo Ripstein,Retrospectiva Ripstein,México,169,1,ADULTOS,2019,ENERO ,Sala
El ornitólogo,Joao Pedro Rodrigues,Cine Portugués,"Portugal, Francia, Brasil ",71,1,ADULTOS,2019,ENERO ,Sala
El planeta salvaje,René Laloux,CC,"Francia, Checoslovaquia",7400,60,ADULTOS ,2019,ENERO ,Sala
El reino de la sirena,Luis Rincón,CC,México ,223,7,ADULTOS ,2019,ENERO ,Sala
En el valle de las sombras,Jonas Matzow,ESTRENO,Noruega,4088,40,ADULTOS,2019,ENERO ,Sala
En manos del destino,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,88,1,ADULTOS,2019,ENERO ,Sala
Érase una vez,Juan Carlos Rulfo,CC,México ,1291,24,ADULTOS ,2019,ENERO ,Sala
Estrellas solitarias,Fernando Urdapilleta,CC,México ,172,9,ADULTOS ,2019,ENERO ,Sala
"Exorcismos, La belleza, Crimen, Autobiografía",Arturo Ripstein,Retrospectiva Ripstein,México,58,1,ADULTOS,2019,ENERO ,Sala
Frenesí,Alfred Hitchcock ,Ciclo Hitchcock,"Estados Unidos, Reino Unido ",269,2,ADULTOS,2019,ENERO ,Sala
Héroes de ocasión,Leo McCarey,Clásicos en pantalla,Estados Unidos ,348,2,ADULTOS,2019,ENERO ,Sala
Hipnosis para ser feliz,Víctor Audiffred,CC,México ,1782,28,ADULTOS ,2019,ENERO ,Sala
Hitchcock/Truffaut,Kent Jones,CC,"Estados Unidos, Francia",403,19,ADULTOS ,2019,ENERO ,Sala
Imitación de la vida ,Douglas Sirk ,Clásicos en pantalla,Estados Unidos,240,2,ADULTOS,2019,ENERO ,Sala
Intriga internacional ,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,120,1,ADULTOS,2019,ENERO ,Sala
La calle de la Amargura,Arturo Ripstein,Retrospectiva Ripstein,"México, España",276,2,ADULTOS,2019,ENERO ,Sala
La casa de Jack,Lars von Trier,CC,Dinamarca,16065,67,ADULTOS ,2019,ENERO ,Sala
La casa más grande del mundo,Ana V. Bojórquez y Lucía Carreras,CC,"Guatemala, México ",1326,34,ADULTOS ,2019,ENERO ,Sala
La imagen que perdiste,Dónal Foreman,CC,"Francia, Irlanda, Estados Unidos, Reino Unido",443,15,ADULTOS ,2019,ENERO ,Sala
La maestra de kínder ,Sara Colangelo,CC,Estados Unidos,2034,14,ADULTOS ,2019,ENERO ,Sala
La mujer del puerto ,Arturo Ripstein,Retrospectiva Ripstein,México,90,1,ADULTOS,2019,ENERO ,Sala
La perdición de los Hombres,Arturo Ripstein,Retrospectiva Ripstein,"México, España",44,1,ADULTOS,2019,ENERO ,Sala
La soga,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,145,1,ADULTOS,2019,ENERO ,Sala
La sombra de una duda,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,164,1,ADULTOS,2019,ENERO ,Sala
La ventana indiscreta ,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,291,2,ADULTOS,2019,ENERO ,Sala
La violación,Juliette Chenais de Busscher,CC,Francia ,2630,22,ADULTOS ,2019,ENERO ,Sala
Las dos Irenes,Fabio Meira,ESTRENO,Brasil,2219,32,ADULTOS,2019,ENERO ,Sala
Las razones del corazón ,Arturo Ripstein,Retrospectiva Ripstein,"México, España",124,1,ADULTOS,2019,ENERO ,Sala
Las reglas del todo,Kim Hiorthøy,CC,Noruega,1756,18,ADULTOS ,2019,ENERO ,Sala
Los años azules,Sofía  Gómez Córdoba,ESTRENO,México ,1884,25,ADULTOS,2019,ENERO ,Sala
Los Disidentes,Eliran Malka,Cine Judio,Israel,333,3,ADULTOS,2019,ENERO ,Sala
Los Pájaros,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,325,2,ADULTOS,2019,ENERO ,Sala
Luz Oscura,Susana de Sousa Dias,Cine Portugués,Portugal,37,1,ADULTOS ,2019,ENERO ,Sala
Marnie ,Alfred Hitchcock ,Ciclo Hitchcock,"Estados Unidos, Reino Unido ",230,2,ADULTOS,2019,ENERO ,Sala
Nostalgia,Andréi Tarkovsky,Cine y Literatura,URSS,190,1,ADULTOS,2019,ENERO ,Sala
Mentiras Piadosas,Arturo Ripstein,Retrospectiva Ripstein,México,123,1,ADULTOS,2019,ENERO ,Sala
Morir como Hombre,Joao Pedro Rodrigues,Cine Portugués,"Portugal, Francia ",154,1,ADULTOS,2019,ENERO ,Sala
Museo ,Alonso Ruizpalacios,CC,México ,342,2,ADULTOS ,2019,ENERO ,Sala
Nadie sabrá nunca,Jesús Torres Torres,Conversando Cineastas,México ,182,1,ADULTOS,2019,ENERO ,Sala
Programa de Cortometrajes,Roberto Fiesco,Conversando Cineastas,México,153,1,ADULTOS,2019,ENERO ,Sala
Quebranto,Roberto Fiesco,Conversando Cineastas,México,170,1,ADULTOS,2019,ENERO ,Sala
Astérix: el secreto de la poción mágica,Alexandre Astier & Louis Clichy,ESTRENO,Francia,629,8,NIÑOS,2019,ENERO ,Sala
Náufragos,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,47,1,ADULTOS,2019,ENERO ,Sala
"No te preocupes, no irá lejos",Gus Van Sant,CC,Estados Unidos ,3981,31,ADULTOS ,2019,ENERO ,Sala
Nueva Venecia, Emiliano Mazza,CC,"Uruguay, Colombia",668,27,ADULTOS ,2019,ENERO ,Sala
Our madness,Joao Viana,Cine Portugués,"Portugal, Mozambique, Francia",89,1,ADULTOS ,2019,ENERO ,Sala
Pájaros de verano,Cristina Gallego y Ciro Guerra,CC,"Colombia, Dinamarca, México ",5785,44,ADULTOS ,2019,ENERO ,Sala
Pinsky,Amanda Lundquist,Cine Judio,Estados Unidos,186,3,ADULTOS,2019,ENERO ,Sala
Potentiae ,Javier Toscano,CC,México ,172,14,ADULTOS ,2019,ENERO ,Sala
Principio y fin,Arturo Ripstein,Retrospectiva Ripstein,México,164,1,ADULTOS,2019,ENERO ,Sala
Profundo Carmesí,Arturo Ripstein,Retrospectiva Ripstein,"México, España, Francia",112,1,ADULTOS,2019,ENERO ,Sala
Psicosis,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,342,2,ADULTOS,2019,ENERO ,Sala
Abril y el mundo extraodinario,Christian Desmares y Franck Ekinci,Matinée de reyes,"Francia , Bélgica & Canadá",367,2,NIÑOS,2019,ENERO ,Sala
"Los Moomin, la película",Xavier Picard,Matinée de reyes / Matinée Infantil,Finlandia & Francia,1887,8,NIÑOS,2019,ENERO ,Sala
Luces en el Cielo,Akiyuki Shinbou & Nobuyuki Takeuchi,Matinée de reyes,Japón,156,2,NIÑOS,2019,ENERO ,Sala
Pueblerina ,Emilio Fernández,Clásicos en pantalla,México,199,2,ADULTOS,2019,ENERO ,Sala
Resurrección,Eugenio Polgovsky,CC,México ,176,9,ADULTOS ,2019,ENERO ,Sala
Roma ,Alfonso Cuarón ,CC,México,24045,83,ADULTOS ,2019,ENERO ,Sala
Saboteador ,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,174,1,ADULTOS,2019,ENERO ,Sala
seminario ,Sin dato,CC,Sin dato,73,1,ADULTOS,2019,ENERO ,Sala
